127.0.0.1 - - [24/Sep/2019:11:08:23 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:08:28 +0530] "GET /RestAPI/ HTTP/1.1" 200 323
127.0.0.1 - - [24/Sep/2019:11:10:36 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [24/Sep/2019:11:10:36 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [24/Sep/2019:11:10:36 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [24/Sep/2019:11:10:38 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [24/Sep/2019:11:10:38 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [24/Sep/2019:11:10:38 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [24/Sep/2019:11:10:38 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [24/Sep/2019:11:10:38 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [24/Sep/2019:11:10:46 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:10:46 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:10:46 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:10:47 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:10:47 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:10:47 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:10:47 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:10:47 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:10:47 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:10:48 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:10:48 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:11:26 +0530] "POST /RestAPI/webapi/myresource/registerJ HTTP/1.1" 204 -
127.0.0.1 - - [24/Sep/2019:11:11:26 +0530] "POST /RestAPI/webapi/myresource/registerJ HTTP/1.1" 204 -
127.0.0.1 - - [24/Sep/2019:11:12:40 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:12:40 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:12:40 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:12:40 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:12:40 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:12:40 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:12:40 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:12:41 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:12:41 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:12:41 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:12:41 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [24/Sep/2019:11:12:58 +0530] "POST /RestAPI/webapi/myresource/registerJ HTTP/1.1" 204 -
127.0.0.1 - - [24/Sep/2019:11:13:29 +0530] "GET /RestAPI/webapi/myresource/getEmpByUserPass/supraja/supraja HTTP/1.1" 200 116
127.0.0.1 - - [24/Sep/2019:11:13:37 +0530] "GET /assets/default-image.jpg HTTP/1.1" 404 1102
127.0.0.1 - - [24/Sep/2019:11:14:09 +0530] "GET /RestAPI/webapi/myresource/getBooks HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:14:09 +0530] "GET /RestAPI/image/AfterTheDarkness.jpg HTTP/1.1" 404 1116
127.0.0.1 - - [24/Sep/2019:11:14:10 +0530] "GET /assets/default-image.jpg HTTP/1.1" 404 1102
127.0.0.1 - - [24/Sep/2019:11:14:12 +0530] "GET /RestAPI/webapi/myresource/getBooks HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [24/Sep/2019:11:14:12 +0530] "GET /RestAPI/image/AfterTheDarkness.jpg HTTP/1.1" 404 1116
